1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical
-0.777838286504,1.20737854975,-0.103330530851,None,3,1Fam,3,1,0.799888722623,-0.358020298369,6,1,1,0,4,-0.783211020976,Y,Norm,Norm,SBrkr
0.423495296809,-0.785025043887,-0.103330530851,None,3,1Fam,3,4,0.974058992643,-0.358020298369,5,1,0,1,4,-0.324087730909,Y,Feedr,Norm,SBrkr
-0.555083188972,1.23537485317,-0.103330530851,None,3,1Fam,3,2,0.610598552189,-0.358020298369,6,1,1,0,4,0.0432983599623,Y,Norm,Norm,SBrkr
-0.420297150574,0.978742071788,-0.103330530851,None,3,1Fam,4,1,0.234729073638,-0.358020298369,5,1,1,0,3,0.255111315801,Y,Norm,Norm,SBrkr
0.12191747958,1.67165058152,-0.103330530851,None,4,1Fam,3,3,0.761015810216,-0.358020298369,6,1,1,0,4,0.158921372524,Y,Norm,Norm,SBrkr
-1.00216660833,0.535467267584,12.6032232155,None,1,1Fam,3,1,0.818796534439,-0.358020298369,6,1,1,0,4,-1.25432540472,Y,Norm,Norm,SBrkr
1.3379469688,-0.785025043887,-0.103330530851,None,3,1Fam,3,3,1.16301289285,-0.358020298369,6,1,1,0,5,-0.234053111154,Y,Norm,Norm,SBrkr
0.0173744677011,1.50833881155,-0.103330530851,None,3,1Fam,3,2,0.903692021537,1.14576701222,5,4,1,0,4,-0.533670421896,Y,PosN,Norm,SBrkr
-0.229936623234,0.969409970647,-0.103330530851,None,2,1Fam,3,1,-1.37997484383,-0.358020298369,1,1,0,0,3,0.886835144262,Y,Artery,Norm,FuseF
-0.0676981324604,-0.785025043887,-0.103330530851,None,2,2fmCon,3,1,0.898670293295,-0.358020298369,6,1,1,0,3,-0.826908995574,Y,Artery,Artery,SBrkr
-0.175908982483,-0.785025043887,-0.103330530851,None,3,1Fam,3,1,0.932417433973,-0.358020298369,3,1,1,0,3,-0.854102558532,Y,Norm,Norm,SBrkr
0.220462611049,1.87928983191,-0.103330530851,None,4,1Fam,3,1,0.985163216774,-0.358020298369,6,1,1,0,5,-0.673921195285,Y,Norm,Norm,SBrkr
-0.582074414927,-0.785025043887,-0.103330530851,None,2,1Fam,3,1,0.822367120276,-0.358020298369,5,1,1,0,3,-0.681631107366,Y,Norm,Norm,SBrkr
0.947345426059,-0.785025043887,-0.103330530851,None,3,1Fam,3,3,-1.37997484383,-0.358020298369,1,1,0,0,4,1.48665671584,Y,Norm,Norm,SBrkr
0.401299783267,-0.785025043887,-0.103330530851,None,2,1Fam,3,1,0.819512304266,-0.358020298369,4,1,1,0,3,0.217358819972,Y,Norm,Norm,SBrkr
-0.785061936848,-0.785025043887,-0.103330530851,None,2,1Fam,3,1,-1.37997484383,-0.358020298369,1,1,0,0,3,0.725146897644,Y,Norm,Norm,FuseA
-0.28491370923,-0.785025043887,-0.103330530851,None,2,1Fam,3,1,0.697151839267,-0.358020298369,5,1,1,0,3,0.0260047355233,Y,Norm,Norm,SBrkr
0.505954997751,-0.785025043887,-0.103330530851,None,2,Duplex,0,0,-1.37997484383,-0.358020298369,0,0,0,0,0,-2.30874808668,Y,Norm,Norm,SBrkr
0.0368964823565,-0.785025043887,-0.103330530851,None,3,1Fam,3,1,0.75389082255,-0.358020298369,6,1,1,0,3,0.114575191091,Y,RRAe,Norm,SBrkr
0.607230078319,-0.785025043887,-0.103330530851,None,3,1Fam,3,1,0.628567141999,-0.358020298369,2,1,0,0,3,0.226884050695,Y,Norm,Norm,SBrkr
0.15689579715,2.05659975359,-0.103330530851,None,4,1Fam,3,3,-1.37997484383,-0.358020298369,1,1,0,0,5,1.1359654604,Y,Norm,Norm,SBrkr
0.0201707900995,-0.785025043887,-0.103330530851,Grvl,3,1Fam,3,1,-1.37997484383,-0.358020298369,1,1,0,0,3,0.426382266742,Y,Norm,Norm,FuseF
1.51817223545,-0.785025043887,-0.103330530851,None,3,1Fam,3,1,-1.37997484383,-0.358020298369,1,1,0,0,4,1.74400584376,Y,Norm,Norm,SBrkr
-0.116952472103,-0.785025043887,-0.103330530851,None,3,TwnhsE,3,1,0.891699567389,-0.358020298369,6,1,1,0,4,-0.589048550924,Y,Norm,Norm,SBrkr
-0.116952472103,-0.785025043887,-0.103330530851,None,3,1Fam,3,2,0.174930300563,3.2477806097,3,5,1,0,3,-0.574942849806,Y,Norm,Norm,SBrkr
